7zip 24.09-3
linux-firmware-broadcom 20250613.12fe085f-9
linux-firmware-cirrus 20250613.12fe085f-9
linux-firmware-intel 20250613.12fe085f-9
linux-firmware-mediatek 20250613.12fe085f-9
linux-firmware-nvidia 20250613.12fe085f-9
linux-firmware-other 20250613.12fe085f-9
linux-firmware-qlogic 20250613.12fe085f-9
linux-firmware-radeon 20250613.12fe085f-9
linux-firmware-realtek 20250613.12fe085f-9
linux-firmware-whence 20250613.12fe085f-9
linux-lts 6.12.34-1
linux-lts-headers 6.12.34-1
llhttp 9.2.1-2
llvm-libs 20.1.6-3
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
localsearch 3.9.0-3
loupe 48.1-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.4-1
lua 5.4.8-2
lua51-lpeg 1.1.0-3
luajit 2.1.1748459687-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
man-pages 6.14-1
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:25.1.4-1
meson 1.8.2-2
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.0-1
mpv 1:0.40.0-3
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.6-1
nano 8.5-1
nautilus 48.2-1
nautilus-open-any-terminal 0.6.1-1
nautilus-python 4.0.1-4
ncurses 6.5-4
neon 0.34.2-1
neovim 0.11.2-3
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
networkmanager-openvpn 1.12.0-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.2.0-1
nodejs 24.2.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
noto-fonts-extra 1:2025.06.01-1
npm 11.4.2-1
npth 1.8-1
nspr 4.36-1
nss 3.113-1
ntfs-3g 2022.10.3-2
ntfs-automount 0.4-2
nwg-dock-hyprland 0.4.6-1
nwg-look 1.0.6-1
obsidian 1.8.10-1
ocl-icd 2.3.3-1
oh-my-posh-bin 26.11.0-1
oh-my-posh-bin-debug 26.11.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.0-1
openvpn 2.6.14-1
opus 1.5.2-1
orc 0.4.41-1
osinfo-db 20250606-1
ostree 2025.2-3
otf-font-awesome 6.7.2-1
p11-kit 0.25.5-1
paccache-hook 1.2.0-1
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.12.0-1
pacman-mirrorlist 20250522-1
pacseek 1.8.5-1
pacutils 0.15.0-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
papirus-icon-theme 20250501-1
parallel 20250622-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.2-1
perl-common-sense 3.75-8
perl-error 0.17030-1
